,age,job,marital,education,default,balance,housing,loan,day_of_week,month,duration,campaign,pdays,previous,subscribed
30605,31,self-employed,single,secondary,no,0,no,yes,6,feb,287,6,-1,0,no
26394,31,technician,married,secondary,no,450,no,yes,20,nov,111,2,129,4,no
36950,38,blue-collar,single,primary,no,12130,yes,no,12,may,455,2,328,13,no
14150,60,management,married,tertiary,no,2222,yes,no,11,jul,1120,2,-1,0,yes
38910,44,blue-collar,single,primary,no,343,yes,yes,18,may,19,7,-1,0,no
21351,37,self-employed,married,tertiary,no,129,no,no,18,aug,128,2,-1,0,no
23041,60,blue-collar,married,primary,no,11,no,no,26,aug,15,10,-1,0,no
25887,47,blue-collar,married,secondary,no,310,no,no,19,nov,353,2,-1,0,no
43386,47,management,married,tertiary,no,288,no,no,31,mar,193,1,181,1,yes
29875,31,technician,single,tertiary,no,454,no,no,4,feb,73,3,-1,0,no
11073,35,services,married,tertiary,no,1359,no,no,17,jun,585,2,-1,0,no
25467,46,technician,single,secondary,no,874,no,no,19,nov,819,3,-1,0,yes
373,25,admin.,single,secondary,no,122,yes,no,6,may,286,1,-1,0,no
20763,56,services,married,secondary,no,0,no,no,13,aug,112,4,-1,0,no
6237,56,management,divorced,tertiary,no,-676,yes,yes,27,may,181,1,-1,0,no
39529,48,management,single,tertiary,no,5689,no,no,26,may,527,2,103,1,no
41353,27,student,single,tertiary,no,118,no,no,31,aug,160,3,98,1,yes
12231,40,blue-collar,married,secondary,no,925,yes,yes,20,jun,22,8,-1,0,no
6913,51,services,divorced,secondary,no,-245,yes,yes,28,may,612,2,-1,0,no
38589,34,technician,married,secondary,no,656,yes,no,15,may,10,7,372,1,no
4930,27,blue-collar,single,secondary,no,0,yes,no,21,may,504,1,-1,0,no
859,33,services,divorced,secondary,no,392,yes,yes,7,may,254,1,-1,0,no
24184,44,entrepreneur,married,tertiary,no,1631,yes,no,17,nov,81,1,195,2,no
26901,36,management,married,tertiary,no,14462,yes,no,21,nov,10,5,-1,0,no
11501,56,self-employed,married,tertiary,no,411,no,no,19,jun,145,4,-1,0,no
41403,32,management,married,tertiary,no,1270,no,no,3,sep,420,1,15,3,no
12158,42,technician,divorced,tertiary,no,21,yes,no,20,jun,9,7,-1,0,no
36063,32,management,married,tertiary,no,859,yes,yes,11,may,195,5,172,11,no
28044,44,technician,married,secondary,no,-199,no,no,28,jan,692,2,247,3,no
1015,34,blue-collar,married,secondary,no,2308,yes,no,7,may,1062,1,-1,0,no
13544,54,blue-collar,divorced,primary,no,-182,no,no,9,jul,98,1,-1,0,no
10589,52,technician,divorced,tertiary,no,728,no,no,16,jun,644,1,-1,0,no
43614,77,retired,married,tertiary,no,7802,no,no,4,may,421,1,92,2,yes
22314,55,management,married,tertiary,no,0,no,no,22,aug,64,2,-1,0,no
3450,22,student,single,secondary,no,364,yes,no,15,may,282,1,-1,0,no
1773,32,unemployed,single,secondary,no,331,yes,no,9,may,211,2,-1,0,no
8520,30,services,divorced,secondary,no,167,yes,no,3,jun,237,2,-1,0,no
33584,32,blue-collar,married,secondary,no,950,yes,yes,20,apr,219,4,-1,0,no
36259,32,services,single,secondary,no,-23,no,no,11,may,185,1,305,1,no
28646,39,self-employed,married,secondary,no,656,no,no,29,jan,309,3,-1,0,no
