,age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,subscribed
10559,29,management,single,tertiary,no,5894,yes,no,,16,jun,223,2,-1,0,,no
3933,41,blue-collar,married,primary,no,208,yes,no,,16,may,315,3,-1,0,,no
9819,39,blue-collar,divorced,secondary,no,2601,no,no,,9,jun,70,1,-1,0,,no
20908,50,services,married,primary,no,12,yes,no,cellular,13,aug,168,1,-1,0,,no
14311,55,blue-collar,married,secondary,no,34,yes,yes,cellular,14,jul,97,3,-1,0,,no
38781,49,blue-collar,married,primary,no,490,yes,no,telephone,18,may,19,5,364,2,failure,no
39852,34,management,married,tertiary,no,611,no,no,cellular,2,jun,350,1,-1,0,,yes
39672,28,admin.,single,secondary,no,157,no,no,cellular,27,may,155,3,-1,0,,yes
15232,54,management,married,tertiary,no,364,yes,no,cellular,17,jul,301,1,-1,0,,no
22507,59,housemaid,married,primary,no,57,no,no,cellular,22,aug,212,11,-1,0,,no
16119,34,technician,single,tertiary,no,228,yes,no,cellular,22,jul,387,4,-1,0,,no
24537,32,management,married,tertiary,no,6274,yes,no,cellular,17,nov,500,2,-1,0,,no
30914,38,management,married,secondary,no,844,no,no,cellular,9,feb,12,7,-1,0,,no
44853,58,technician,married,secondary,no,99,no,no,telephone,22,sep,396,2,-1,0,,yes
8913,31,admin.,married,secondary,no,454,yes,no,,4,jun,119,1,-1,0,,no
27452,43,,single,tertiary,no,2731,no,no,cellular,21,nov,11,7,-1,0,,no
29176,42,blue-collar,married,primary,no,1455,yes,no,cellular,2,feb,279,2,269,2,other,no
27460,30,management,single,tertiary,no,9634,no,no,cellular,21,nov,402,4,101,5,failure,no
16975,39,self-employed,married,tertiary,no,1492,yes,no,cellular,25,jul,1106,1,-1,0,,no
28441,32,admin.,married,secondary,no,342,no,no,cellular,29,jan,179,1,-1,0,,no
23015,45,blue-collar,married,primary,no,512,no,no,cellular,26,aug,123,2,-1,0,,no
29288,31,management,single,tertiary,no,3283,no,no,cellular,2,feb,258,1,73,1,failure,yes
18962,38,services,married,tertiary,no,658,no,no,cellular,4,aug,328,2,-1,0,,no
44529,77,retired,married,primary,no,2590,no,no,telephone,12,aug,345,1,178,20,failure,yes
18107,27,housemaid,married,primary,no,3,yes,yes,cellular,30,jul,64,4,-1,0,,no
24619,41,management,single,tertiary,no,7595,no,no,cellular,17,nov,1121,2,-1,0,,no
13584,25,services,single,secondary,no,281,no,yes,cellular,9,jul,173,1,-1,0,,no
4629,43,management,married,tertiary,no,1825,yes,no,,20,may,742,2,-1,0,,no
4780,33,services,married,tertiary,no,1349,yes,no,,21,may,120,1,-1,0,,no
21026,35,management,single,tertiary,no,0,no,yes,cellular,14,aug,370,4,-1,0,,no
33771,53,admin.,single,secondary,no,1958,no,no,telephone,23,apr,164,4,-1,0,,no
44864,46,management,married,tertiary,no,7485,no,no,cellular,23,sep,145,1,779,2,failure,no
12526,45,blue-collar,divorced,secondary,no,-705,no,yes,,3,jul,111,1,-1,0,,no
5398,33,services,divorced,secondary,yes,339,yes,no,,23,may,496,4,-1,0,,no
35105,53,blue-collar,married,secondary,no,-71,yes,no,cellular,6,may,91,3,-1,0,,no
29642,39,management,divorced,tertiary,no,30,no,yes,cellular,3,feb,265,4,-1,0,,no
20248,60,retired,married,primary,no,172,no,no,cellular,11,aug,247,4,-1,0,,no
31357,44,management,married,tertiary,no,3665,no,no,cellular,17,mar,325,1,-1,0,,no
5478,31,admin.,single,tertiary,no,701,yes,no,,23,may,301,2,-1,0,,no
21136,57,retired,married,secondary,no,6610,no,no,cellular,14,aug,449,2,-1,0,,no
29670,56,management,married,tertiary,no,2366,yes,yes,cellular,3,feb,538,2,188,4,failure,no
34041,31,services,single,secondary,no,1599,no,no,cellular,30,apr,226,1,78,2,success,no
12956,29,blue-collar,single,secondary,no,218,no,no,cellular,7,jul,255,2,-1,0,,no
36496,55,blue-collar,married,primary,no,1649,yes,no,cellular,12,may,52,3,-1,0,,no
26933,54,technician,single,secondary,no,2237,no,no,cellular,21,nov,149,5,-1,0,,no
22015,54,,married,,no,390,no,no,cellular,20,aug,68,5,-1,0,,no
27316,34,self-employed,married,tertiary,no,13354,no,no,telephone,21,nov,26,5,-1,0,,no
15773,54,housemaid,divorced,secondary,yes,34,no,no,cellular,21,jul,208,3,-1,0,,no
27976,36,management,married,tertiary,no,0,yes,no,cellular,28,jan,60,1,250,1,other,no
12856,29,technician,married,secondary,no,-28,no,no,cellular,7,jul,531,1,-1,0,,no
4344,23,technician,single,,no,710,yes,no,,19,may,374,6,-1,0,,no
23018,44,management,single,secondary,no,813,no,no,cellular,26,aug,358,2,-1,0,,no
44760,28,student,single,tertiary,no,5741,no,no,cellular,10,sep,1042,5,200,3,failure,yes
37448,58,management,married,tertiary,no,4152,yes,no,cellular,13,may,76,7,13,6,success,no
4101,44,admin.,divorced,secondary,no,2,yes,no,,19,may,429,1,-1,0,,no
19832,32,management,married,tertiary,no,500,no,no,cellular,8,aug,151,4,-1,0,,no
27911,48,technician,married,secondary,no,220,no,no,cellular,28,jan,73,1,-1,0,,no
31325,44,management,married,tertiary,no,423,no,no,cellular,12,mar,2330,5,-1,0,,yes
28002,43,blue-collar,married,,no,117,yes,no,telephone,28,jan,170,2,240,1,other,no
36412,33,technician,single,secondary,no,3499,yes,no,cellular,11,may,143,3,356,1,other,no
