,max_depth,n_estimators,mean_test_score,sem_test_score,sem_test_score_lower,sem_test_score_upper
3,3,400,0.8277192834197239,0.002637035944882751,0.8264007654472825,0.8290378013921653
2,3,300,0.8275604357290376,0.0022615749666599397,0.8264296482457076,0.8286912232123675
0,3,100,0.8267917648950796,0.002872939238023204,0.825355295276068,0.8282282345140911
1,3,200,0.8262497967587098,0.0028279249308714315,0.8248358342932741,0.8276637592241455
4,3,500,0.8259418989353445,0.0019412714958762815,0.8249712631874064,0.8269125346832826
7,5,300,0.8182138048964797,0.0046034587597281835,0.8159120755166156,0.8205155342763437
8,5,400,0.8179289259010124,0.004841223424234309,0.8155083141888952,0.8203495376131296
6,5,200,0.8178427425330682,0.005598426787415218,0.8150435291393606,0.8206419559267758
9,5,500,0.817580539412355,0.005205349404544812,0.8149778647100826,0.8201832141146274
5,5,100,0.8165032768307491,0.006749327204626765,0.8131286132284357,0.8198779404330625
11,7,200,0.8088887660193554,0.0047210243249738975,0.8065282538568685,0.8112492781818423
12,7,300,0.8082738111013554,0.005327843654320773,0.8056098892741951,0.8109377329285158
13,7,400,0.8081333657630022,0.004958277686158955,0.8056542269199227,0.8106125046060817
10,7,100,0.8071587123591101,0.005851613665884562,0.8042329055261678,0.8100845191920524
14,7,500,0.8063482712051107,0.004118039782611242,0.804289251313805,0.8084072910964163
16,15,200,0.6186704755499799,0.006020331874537339,0.6156603096127112,0.6216806414872486
18,15,400,0.6184802680114816,0.00472584630711598,0.6161173448579236,0.6208431911650396
17,15,300,0.6173499446686547,0.006499561197892582,0.6141001640697084,0.620599725267601
15,15,100,0.6165810499488437,0.003786540545829577,0.6146877796759289,0.6184743202217584
19,15,500,0.6162791656714429,0.007101477562617793,0.6127284268901341,0.6198299044527518
21,,200,0.2415112468139476,0.008670055657538192,0.2371762189851785,0.2458462746427167
22,,300,0.24049067040930897,0.007631540248815618,0.23667490028490115,0.24430644053371678
23,,400,0.2401907028169686,0.007881321913705813,0.2362500418601157,0.24413136377382152
24,,500,0.23949004092608664,0.007116313356845344,0.23593188424766398,0.2430481976045093
20,,100,0.23738564460630324,0.006797436387484156,0.23398692641256116,0.2407843628000453
